# SENDER MEMBER ID | RECEIVER MEMBER IDs
1 | 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 26, 27, 28, 29, 30
2 | 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 26, 27, 28
3 | 4, 6, 8, 10, 12, 14, 16, 28
4 | 7, 8, 17, 19, 22, 28
5 | 6, 9, 10, 12, 13, 15, 27
6 | 8, 27
7 | 19, 21
8 | 21, 29
9 | 12, 13, 14, 15
10 | 18, 27, 28, 29
11 | 21
12 | 14, 15, 17
13 | 14, 17, 27
14 | 15, 21, 29
15 | 16, 21, 28, 29
16 | 17, 27
17 | 21, 27
18 | 21
19 | 29
20 | 
21 | 27, 28
22 | 26, 28
23 | 27
24 | 26, 29
25 | 27, 28, 29
26 | 28
27 | 29
28 | 29
29 | 30
30 | 
